CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010558003","19","019","0001","0558","003",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0558","3","94","51","43",*,*,"0","92","49","43","91","48","43","84","46","38","81","44","37","79","43","36","3",*,*,"5",*,"3","7","3","4","3",*,*,*,*,*,"14","10","4","26","18","8","10","84.31","13","72","9","43","27","33","17","27","4","12","0.43","3.48","94","27","19","27","27","27","27","26","25","0","0","0","0","72739"
"1901900010168017","19","019","0001","0168","017",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0168","17","27","18","9","0","0","0","27","18","9","27","18","9","27","18","9","25","17","8","24","17","7","0","0","0","0","0","0",*,*,*,*,*,*,*,"0",*,"7","5",*,"11","9","5","4","50",*,"19","6","9","7","9","7","7",*,"0","0.63","3.86","27","7","5","6","7","7","7","7","3","0","0","0","0","12011"
"1901900010098024","19","019","0001","0098","024",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0098","24","37","18","19","0","0","0","37","18","19","37","18","19","35","18","17","33","18","15","31","17","14",*,"0",*,*,"0",*,"3","0","3",*,"0",*,*,*,*,"6","4",*,"10","16","8","8","105.56","4","19","14","13","13","13","13","13","0","0","0.4","2.85","37","13","6","13","12","13","13","12","5","0","0","0","0","9275"
"1901900010098008","19","019","0001","0098","008",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0098","8","42","23","19","3",*,*,"39","22","17","36","21","15","34","21","13","33","20","13","32","20","12","3",*,*,*,"0",*,*,*,*,*,*,"0",*,"0",*,"3",*,*,"12","8","5","3","82.61","9","25","8","12","9","11","8","9","3","0","0.64","4.67","42","9","7","9","9","9","9","8","7","0","0","0","0","25671"
"1901900010558031","19","019","0001","0558","031",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0558","31","137","75","62","6","5",*,"131","70","61","130","69","61","123","66","57","119","62","57","110","59","51",*,*,*,"6","3","3","9","6","3","4","4","0","9","3","6","20","11","9","46","17","8","9","82.67","18","108","11","39","39","24","24","39","0","0","0.52","3.51","137","39","22","39","38","39","39","38","39","0","0","0","0","1170349"
"1901900010098013","19","019","0001","0098","013",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0098","13","18","14","4","0","0","0","18","14","4","18","14","4","18","14","4","18","14","4","18","14","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","14","3","28.57","0",*,"16","6","5","5","4","4",*,"0","0.25","1.75","7","4",*,*,"4","4","3","4","0","0","0",*,"0","11152"
"1901900010420005","19","019","0001","0420","005",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0420","5","33","23","10","3",*,*,"30","21","9","30","21","9","28","19","9","28","19","9","28","19","9","0","0","0",*,*,"0",*,*,"0","0","0","0","0","0","0",*,*,"0","10","14","9","5","43.48","5","16","12","10","10","8","8","10","0","0","0.4","3.3","33","10","10","9","9","10","10","10","5","0","0","0","0","28388"
"1901900010416001","19","019","0001","0416","001",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0416","1","177","97","80","4",*,*,"173","95","78","171","94","77","159","86","73","146","81","65","136","74","62",*,*,*,"12","8","4","23","11","12","13","5","8","10","7","3","36","20","16","57","24","11","13","82.47","31","123","23","45","44","40","39","44",*,"0","0.56","4.02","177","44","41","44","44","44","44","41","40","0","0","0","0","156035"
"1901900010399038","19","019","0001","0399","038",Urbana,Camellón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1323"
"1901900010384008","19","019","0001","0384","008",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0384","8","14","7","7",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,"7","4",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,"14793"
