RML,NOMBRE_COL,AREA,CALLE,NIVELES,US_ACT2011
25 153 002,,"111",,"1",HU
25 153 003,,"110",,"1",HU
25 221 001,,"750",,"0",EA
25 153 005,,"112",,"2",HU
25 153 004,,"111",,"2",C
25 153 006,,"110",,"2",HU
25 220 001,,"112",,"2",HU
25 220 002,,"156",,"1",HU
25 153 007,,"115",,"1",HU
25 153 008,,"108",,"2",HU
25 153 009,,"105",,"1",HU
25 220 003,,"190",,"1",HU
25 153 010,,"109",,"1",HU
25 220 005,,"122",,"1",HU
25 220 004,,"105",,"1",HU
25 153 011,,"112",,"2",HU
25 153 012,,"113",,"1",HU
25 153 013,,"109",,"1",HU
25 156 001,,"194",,"2",HU
25 156 002,,"109",,"1",HU
25 156 003,,"108",,"2",HU
25 081 041,FOMERREY 22,"131",GRANITO 541,"1",HU
25 081 040,FOMERREY 22,"116",GRANITO 539,"2",HU
25 153 014,,"112",,"2",HU
25 081 001,FOMERREY 22,"178",GRANITO 543,"2",HU
25 156 004,,"158",,"1",HU
25 081 039,FOMERREY 22,"102",GRANITO 537,"2",HU
25 153 015,,"104",,"2",HM
25 154 001,,"186",,"1",HM
25 081 038,FOMERREY 22,"123",GRANITO 535,"1",HU
25 081 037,FOMERREY 22,"153",GRANITO 533,"2",HU
25 153 016,,"115",,"1",HU
25 156 009,,"198",,"1",HU
25 153 017,,"107",,"1",HU
25 154 002,,"128",,"0",HU
25 156 007,,"111",,"1",HU
25 153 018,,"133",,"1",HU
25 081 036,FOMERREY 22,"160",GRANITO 531,"1",HU
25 156 006,,"118",,"1",HU
25 156 008,,"115",,"2",HU
25 081 034,FOMERREY 22,"163",FIERRO 527,"2",HU
25 081 035,FOMERREY 22,"174",GRANITO 529,"1",HU
25 154 003,,"138",,"0",HU
25 156 005,,"167",,"1",HU
25 154 004,,"131",,"0",HU
25 155 003,,"102",,"1",HU
25 155 001,,"131",,"2",HU
25 155 002,,"109",,"2",HU
25 155 015,,"126",,"1",HU
25 155 005,,"108",,"1",HU
25 080 003,FOMERREY 22,"103",TALCO 206,"1",HU
25 080 001,FOMERREY 22,"144",TALCO 202,"2",HU
25 154 005,,"239",,"2",HM
25 080 004,FOMERREY 22,"133",TALCO 208,"2",HU
25 155 004,,"102",,"2",HU
25 155 006,,"104",,"2",HM
25 155 014,,"122",,"2",HU
25 155 013,,"111",,"1",HU
25 080 002,FOMERREY 22,"114",TALCO 204,"2",HU
25 155 012,,"105",,"1",HU
25 155 011,,"110",,"2",HU
25 080 008,FOMERREY 22,"123",AZUFRE 201,"2",M
25 080 007,FOMERREY 22,"111",AZUFRE 203,"2",HU
25 080 005,FOMERREY 22,"139",AZUFRE 207,"2",HU
25 155 009,,"113",,"2",HU
25 080 006,FOMERREY 22,"108",AZUFRE 205,"2",HU
25 155 010,,"106",,"2",HU
25 155 008,,"161",,"2",HU
25 079 001,FOMERREY 22,"198",AZUFRE 202,"2",M
25 079 003,FOMERREY 22,"103",AZUFRE 206,"1",HU
25 079 002,FOMERREY 22,"107",AZUFRE 204,"2",HU
25 079 004,FOMERREY 22,"133",AZUFRE 208,"1",HU
25 006 023,FOMERREY 22,"105",HELIO 1303,"2",HU
