REGION,MANZANA,LOTE,SHAPE_Area,RML,NOMBRE_COL,CALLE,NIVELES,US_ACT2016
"25","063","004",114.086588285,25 063 004,UNIDAD SAN PEDRO,MANGANESO 208,"2",HU
"25","063","016",151.598799958,25 063 016,UNIDAD SAN PEDRO,FIERRO L16 M63,"2",HU
"25","063","022",105.574058283,25 063 022,UNIDAD SAN PEDRO,FIERRO L22 M63,"2",HU
"25","063","001",113.581170495,25 063 001,,MANGANESO L1 M63,"2",HU
"25","051","005",115.816068775,25 051 005,UNIDAD SAN PEDRO,FIERRO 104,"2",HU
"25","051","020",144.484555122,25 051 020,UNIDAD SAN PEDRO,CROMO L20 M51,"2",HU
"25","051","013",122.454134707,25 051 013,U SAN PEDRO,MANGANESO 103,"2",HU
"25","051","015",136.577181271,25 051 015,UNIDAD SAN PEDRO,CROMO 113,"2",HU
"25","051","012",122.043075052,25 051 012,,MANGANESO L12 M51,"2",HU
"25","051","010",116.127600784,25 051 010,SAN PEDRO,FIERRO 114,"2",HU
"25","051","009",110.510134512,25 051 009,UNIDAD SAN PEDRO,FIERRO 112,"2",HU
"25","051","016",134.958902499,25 051 016,,CROMO L16 M51 UNIDAD SN PED,"1",C
"25","051","008",113.701407224,25 051 008,,FIERRO L8 M51 UNIDAD SN PED,"2",HU
"25","051","017",140.629339753,25 051 017,,CROMO L17 M51 UNI SN PEDRO,"2",HU
"25","051","018",138.995763747,25 051 018,UNIDAD SAN PEDRO,CROMO 107,"2",HU
"25","051","007",112.763169906,25 051 007,UNIDAD SAN PEDRO,FIERRO 108,"2",HU
"25","063","012",107.56000474,25 063 012,UNIDAD SAN PEDRO,ORO 218,"2",HU
"25","063","006",104.587316448,25 063 006,,ORO L6 M63,"2",S
"25","063","025",104.007082515,25 063 025,,FIERRO L25 M63,"2",HU
"25","063","024",103.723559568,25 063 024,,FIERRO L24 M63,"1",HU
"25","063","007",106.639089909,25 063 007,,ORO L7 M63,"2",HU
"25","063","023",105.99514773,25 063 023,,FIERRO L23 M63,"1",HU
"25","063","008",107.626838472,25 063 008,UNIDAD SAN PEDRO,ORO 210,"2",S
"25","063","009",104.078959736,25 063 009,,ORO L9 M63,"2",HU
"25","063","021",101.907277665,25 063 021,,FIERRO L21 M63,"2",HU
"25","063","010",105.779102103,25 063 010,,ORO L10 M63,"2",HU
"25","063","020",104.901939046,25 063 020,UNIDAD SAN PEDRO,FIERRO L20 M63,"2",HU
"25","063","011",104.228757124,25 063 011,SAN PEDRO,ORO 216,"2",HU
"25","051","019",141.493406998,25 051 019,UNIDAD SAN PEDRO,CROMO L19 M51,"1",HU
"25","051","006",110.196438572,25 051 006,,FIERRO L6 M51 UNIDAD SN PED,"2",HU
"25","062","028",142.897744934,25 062 028,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L28 M62,"2",C
"25","062","006",136.922348343,25 062 006,,FIERRO L6 M62 UNIDAD SN PED,"2",HU
"25","062","019",118.234018699,25 062 019,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L19 M62,"2",HU
"25","062","020",137.18918094,25 062 020,,20 DE NOVIEMBRE 219,"2",HU
"25","062","017",103.843976412,25 062 017,SAN PEDRO,MERCURIO 103,"2",HU
"25","062","022",108.757404763,25 062 022,UNIDAD SAN PEDRO,20 DE NOVIEMBRE L22 M62,"2",C
