REGION,MANZANA,LOTE,SHAPE_AREA,NOMBRE_COL,CALLE,NIVELES,US_ACT2020,RML
"25","063","004",114.0865883092,UNIDAD SAN PEDRO,MANGANESO 208,"2",HU,25 063 004
"25","063","016",151.5987999646,UNIDAD SAN PEDRO,FIERRO L16 M63,"2",HU,25 063 016
"25","063","022",105.574058285,UNIDAD SAN PEDRO,FIERRO L22 M63,"2",HU,25 063 022
"25","063","001",113.5811705037,,MANGANESO L1 M63,"2",HU,25 063 001
"25","051","005",115.8160687727,UNIDAD SAN PEDRO,FIERRO 104,"2",HU,25 051 005
"25","051","020",144.4845551327,UNIDAD SAN PEDRO,CROMO L20 M51,"2",HU,25 051 020
"25","051","013",122.4541347211,U SAN PEDRO,MANGANESO 103,"2",HU,25 051 013
"25","051","015",136.5771812597,UNIDAD SAN PEDRO,CROMO 113,"2",HU,25 051 015
"25","051","012",122.0430750337,,MANGANESO L12 M51,"2",HU,25 051 012
"25","051","010",116.1276007768,SAN PEDRO,FIERRO 114,"2",HU,25 051 010
"25","051","009",110.5101345206,UNIDAD SAN PEDRO,FIERRO 112,"2",HU,25 051 009
"25","051","016",134.9589024972,,CROMO L16 M51 UNIDAD SN PED,"1",C,25 051 016
"25","051","008",113.7014072146,,FIERRO L8 M51 UNIDAD SN PED,"2",HU,25 051 008
"25","051","017",140.6293397382,,CROMO L17 M51 UNI SN PEDRO,"2",HU,25 051 017
"25","051","018",138.9957637278,UNIDAD SAN PEDRO,CROMO 107,"2",HU,25 051 018
"25","051","007",112.7631699121,UNIDAD SAN PEDRO,FIERRO 108,"2",HU,25 051 007
"25","063","012",107.5600047532,UNIDAD SAN PEDRO,ORO 218,"2",HU,25 063 012
"25","063","006",104.5873164632,,ORO L6 M63,"2",S,25 063 006
"25","063","025",104.0070825157,,FIERRO L25 M63,"2",HU,25 063 025
"25","063","024",103.7235595724,,FIERRO L24 M63,"1",HU,25 063 024
"25","063","007",106.6390899057,,ORO L7 M63,"2",HU,25 063 007
"25","063","023",105.9951477238,,FIERRO L23 M63,"1",HU,25 063 023
"25","063","008",107.6268384786,UNIDAD SAN PEDRO,ORO 210,"2",S,25 063 008
"25","063","009",104.0789597308,,ORO L9 M63,"2",HU,25 063 009
"25","063","021",101.9072776686,,FIERRO L21 M63,"2",HU,25 063 021
"25","063","010",105.7791020999,,ORO L10 M63,"2",HU,25 063 010
